ZZ3_IDEQU,ZZ3_FILIAL,ZZ3_PLACA,ZZ3_FROTA ,ZZ3_EMPEQU,ZZ3_POSSE,ZZ3_TIPEQU,ZZ3_OBS,ZZ3_DATDIG,D_E_L_E_T_,R_E_C_N_O_
6999,,PZR0975,VOYAGE,PARTICULAR,PROPRIO,VLEVE,,,,
7000,,NSC6801,,TRANS PES,PROPRIO,CAVMEC,,,,
7001,,MSB7682,,TRAN PES ,PROPRIO,CSC,,,,
7002,,OWU0600,,TRANS PES,PROPRIO,CAVMEC,,,,
7003,,EJV8004,,TRANS PES,PROPRIO,CSC,,,,
7004,,NUV1812,,PARTICULAR,PROPRIO,CAVMEC,,,,
7005,,NQV3983,,PARTICULAR,PROPRIO,CSC,,,,
7006,,JVH7272,,PARTICULAR,PROPRIO,VLEVE,,,,
7007,,NTC0010,,GRUPO ARIZONA,PROPRIO,CAVMEC,,,,
7008,,NSX1010,,GRUPO ARIZONA,PROPRIO,CSC,,,,
7009,,NSM1055,,PORTUGAL COMERCIO,PROPRIO,TOCO,,,,
7010,,JUM2665,,PARTICULAR,PROPRIO,TRUCK,BAU,,,
7011,,OFV9959,,PARTICULAR,PROPRIO,VLEVE,,,,
7012,,OTV7276,,DETRAN,PROPRIO,UTILIT,,,,
7013,,KMS0116,,PARTICULAR,PROPRIO,TRUCK,BAU,,,
7014,,BML7312,,PARTICULAR,PROPRIO,TRUCK,BAU,,,
7015,,FLI6177,,G5 LOGISTICA,PROPRIO,CAVMEC,,,,
7016,,NRR0699,,G5 LOGISTICA,PROPRIO,REBOQUE,DOLLY,,,
7017,,FIO4713,,G5 LOGISTICA,PROPRIO,CSC,,,,
7018,,QDG4091,,PARTICULAR,PROPRIO,VLEVE,,,,
7019,,ACA1362,,PARTICULAR,PROPRIO,TRUCK,,,,
7020,,VGQ5718,,TRANS PES MINAS,PROPRIO,CAVMEC,,,,
7021,,EJV8285,,TRANS PES MINAS ,PROPRIO,CSC,,,,
7022,,PVM9527,,TRANS PES MINAS ,PROPRIO,VLEVE,,,,
7023,,OPL7241,,TRANS PES MINAS ,PROPRIO,VLEVE,,,,
